,BATHRM,HF_BATHRM,HEAT,AC,ROOMS,BEDRM,AYB,YR_RMDL,EYB,PRICE,QUALIFIED,SALE_NUM,BLDG_NUM,FIREPLACES,USECODE,LANDAREA,SOURCE,CMPLX_NUM,LIVING_GBA,ZIPCODE,LATITUDE,LONGITUDE,ASSESSMENT_NBHD,WARD,SQUARE,QUADRANT,SALEYEAR,SALEMONTH
128636,1,0,Ht Pump,Y,4,1,1942.0,1,1942,430000.0,Q,3,1,0,16,1470,Condominium,1066.0,1104.0,20016.0,38.93647738,-77.07636626,Cleveland Park,Ward 3,1820,NW,2014.0,8.0
128640,2,0,Ht Pump,Y,7,4,1942.0,1,1942,460000.0,Q,1,1,0,16,1984,Condominium,1066.0,1490.0,20016.0,38.93647738,-77.07636626,Cleveland Park,Ward 3,1820,NW,2011.0,12.0
128650,2,0,Ht Pump,Y,7,4,1942.0,1,1942,615000.0,Q,4,1,0,16,1984,Condominium,1066.0,1490.0,20016.0,38.93647738,-77.07636626,Cleveland Park,Ward 3,1820,NW,2018.0,6.0
128651,2,0,Ht Pump,Y,7,4,1942.0,1,1942,635000.0,Q,5,1,0,16,1984,Condominium,1066.0,1490.0,20016.0,38.93647738,-77.07636626,Cleveland Park,Ward 3,1820,NW,2016.0,9.0
128653,2,0,Ht Pump,Y,7,4,1942.0,1,1942,552500.0,Q,1,1,0,16,2105,Condominium,1066.0,1581.0,20016.0,38.93647738,-77.07636626,Cleveland Park,Ward 3,1820,NW,2013.0,12.0
128654,2,0,Ht Pump,Y,7,4,1942.0,1,1942,562500.0,Q,6,1,0,16,1984,Condominium,1066.0,1490.0,20016.0,38.93647738,-77.07636626,Cleveland Park,Ward 3,1820,NW,2014.0,12.0
128655,2,1,Ht Pump,Y,4,2,1942.0,1,1942,523000.0,Q,3,1,0,16,1766,Condominium,1066.0,1327.0,20016.0,38.93647738,-77.07636626,Cleveland Park,Ward 3,1820,NW,2017.0,7.0
128658,2,0,Ht Pump,Y,6,2,1942.0,1,1942,510000.0,Q,7,1,0,16,1817,Condominium,1066.0,1365.0,20016.0,38.93647738,-77.07636626,Cleveland Park,Ward 3,1820,NW,2016.0,11.0
128660,2,0,Ht Pump,Y,4,2,1942.0,1,1942,495000.0,Q,2,1,0,16,1766,Condominium,1066.0,1327.0,20016.0,38.93647738,-77.07636626,Cleveland Park,Ward 3,1820,NW,2015.0,10.0
128661,2,0,Ht Pump,Y,6,2,1942.0,1,1942,560000.0,Q,5,1,0,16,1810,Condominium,1066.0,1360.0,20016.0,38.93647738,-77.07636626,Cleveland Park,Ward 3,1820,NW,2017.0,7.0
128662,2,0,Forced Air,Y,4,2,1957.0,1,1957,325000.0,Q,1,1,0,17,741,Condominium,2425.0,981.0,20016.0,38.929271735,-77.08291263000001,Wesley Heights,Ward 3,1699,NW,2013.0,6.0
128669,1,0,Hot Water Rad,N,3,2,1942.0,0,1942,565000.0,U,4,1,0,17,595,Condominium,2396.0,1150.0,20007.0,38.909759305,-77.05417157,Georgetown,Ward 2,1264,NW,2015.0,4.0
128671,1,0,Hot Water Rad,N,3,1,1942.0,0,1942,415000.0,Q,4,1,0,17,524,Condominium,2396.0,1014.0,20007.0,38.909759305,-77.05417157,Georgetown,Ward 2,1264,NW,2017.0,2.0
128676,2,0,Hot Water Rad,N,4,2,1942.0,0,1942,373000.0,Q,4,1,0,17,524,Condominium,2396.0,1014.0,20007.0,38.909759305,-77.05417157,Georgetown,Ward 2,1264,NW,2014.0,6.0
128677,1,0,Hot Water Rad,N,4,1,1942.0,0,1942,330000.0,Q,1,1,0,17,461,Condominium,2396.0,1014.0,20007.0,38.909759305,-77.05417157,Georgetown,Ward 2,1264,NW,2010.0,9.0
128683,1,0,Hot Water Rad,N,2,0,1942.0,0,1942,275000.0,Q,2,1,0,17,261,Condominium,2396.0,542.0,20007.0,38.909759305,-77.05417157,Georgetown,Ward 2,1264,NW,2016.0,5.0
128685,1,0,Hot Water Rad,N,2,0,1942.0,0,1942,235000.0,Q,1,1,0,17,266,Condominium,2396.0,542.0,20007.0,38.909759305,-77.05417157,Georgetown,Ward 2,1264,NW,2011.0,4.0
128691,1,0,Hot Water Rad,N,3,1,1942.0,0,1942,385000.0,Q,4,1,0,17,411,Condominium,2396.0,681.0,20007.0,38.909759305,-77.05417157,Georgetown,Ward 2,1264,NW,2014.0,12.0
128693,1,0,Hot Water Rad,N,3,1,1942.0,0,1942,365000.0,Q,3,1,0,17,357,Condominium,2396.0,681.0,20007.0,38.909759305,-77.05417157,Georgetown,Ward 2,1264,NW,2016.0,11.0
128696,1,0,Hot Water Rad,N,3,1,1942.0,0,1942,319000.0,U,2,1,0,17,368,Condominium,2396.0,734.0,20007.0,38.909759305,-77.05417157,Georgetown,Ward 2,1264,NW,2016.0,4.0
128698,1,0,Hot Water Rad,N,3,1,1942.0,0,1942,409900.0,Q,3,1,0,17,373,Condominium,2396.0,734.0,20007.0,38.909759305,-77.05417157,Georgetown,Ward 2,1264,NW,2017.0,9.0
128703,1,0,Hot Water Rad,N,3,1,1942.0,0,1942,411000.0,U,2,1,0,17,447,Condominium,2396.0,913.0,20007.0,38.909759305,-77.05417157,Georgetown,Ward 2,1264,NW,2014.0,6.0
128709,1,0,Hot Water Rad,N,3,1,1942.0,0,1942,351250.0,Q,6,1,0,17,368,Condominium,2396.0,696.0,20007.0,38.909759305,-77.05417157,Georgetown,Ward 2,1264,NW,2016.0,2.0
128710,1,0,Hot Water Rad,N,3,1,1942.0,0,1942,314500.0,Q,1,1,0,17,370,Condominium,2396.0,696.0,20007.0,38.909759305,-77.05417157,Georgetown,Ward 2,1264,NW,2010.0,11.0
128713,1,0,Hot Water Rad,N,3,0,1942.0,0,1942,300000.0,Q,4,1,0,17,321,Condominium,2396.0,546.0,20007.0,38.909759305,-77.05417157,Georgetown,Ward 2,1264,NW,2014.0,8.0
128715,1,0,Hot Water Rad,N,2,0,1942.0,0,1942,267940.0,Q,5,1,0,17,272,Condominium,2396.0,546.0,20007.0,38.909759305,-77.05417157,Georgetown,Ward 2,1264,NW,2014.0,7.0
128717,1,0,Hot Water Rad,N,2,0,1942.0,0,1942,286000.0,Q,2,1,0,17,277,Condominium,2396.0,546.0,20007.0,38.909759305,-77.05417157,Georgetown,Ward 2,1264,NW,2016.0,3.0
128720,1,0,Hot Water Rad,N,2,0,1942.0,0,1942,275000.0,U,4,1,0,17,321,Condominium,2396.0,546.0,20007.0,38.909759305,-77.05417157,Georgetown,Ward 2,1264,NW,2014.0,6.0
128723,1,0,Hot Water Rad,N,2,0,1942.0,0,1942,283000.0,Q,3,1,0,17,275,Condominium,2396.0,546.0,20007.0,38.909759305,-77.05417157,Georgetown,Ward 2,1264,NW,2017.0,6.0
128725,1,0,Hot Water Rad,N,2,0,1942.0,0,1942,259000.0,Q,1,1,0,17,279,Condominium,2396.0,546.0,20007.0,38.909759305,-77.05417157,Georgetown,Ward 2,1264,NW,2013.0,3.0
128727,1,0,Ht Pump,Y,3,1,1938.0,1,1938,430000.0,U,2,1,0,16,466,Condominium,5520.0,514.0,20007.0,38.91896113,-77.07771377,Glover Park,Ward 3,1315,NW,2017.0,10.0
128728,2,0,Ht Pump,Y,4,2,1938.0,1,1938,587000.0,U,2,1,0,16,698,Condominium,5520.0,792.0,20007.0,38.91896113,-77.07771377,Glover Park,Ward 3,1315,NW,2017.0,9.0
128729,1,0,Ht Pump,Y,3,1,1938.0,1,1938,426000.0,U,2,1,0,16,466,Condominium,5520.0,524.0,20007.0,38.91896113,-77.07771377,Glover Park,Ward 3,1315,NW,2017.0,8.0
128730,2,0,Ht Pump,Y,4,2,1938.0,1,1938,595000.0,U,2,1,0,16,698,Condominium,5520.0,755.0,20007.0,38.91896113,-77.07771377,Glover Park,Ward 3,1315,NW,2017.0,9.0
128731,2,1,Ht Pump,Y,4,2,1938.0,1,1938,775000.0,U,2,1,0,16,791,Condominium,5520.0,926.0,20007.0,38.91896113,-77.07771377,Glover Park,Ward 3,1315,NW,2017.0,9.0
128732,1,0,Hot Water Rad,N,4,1,1942.0,0,1942,200000.0,Q,2,1,0,16,873,Condominium,2408.0,612.0,20007.0,38.9216524,-77.08015744,Glover Park,Ward 3,1316,NW,2016.0,10.0
128738,1,0,Ht Pump,Y,3,1,1985.0,1,1985,350000.0,Q,4,1,1,16,1027,Condominium,1657.0,752.0,20016.0,38.937773395,-77.07536841999999,Cleveland Park,Ward 3,1821,NW,2015.0,11.0
128745,1,1,Ht Pump,Y,3,1,1985.0,1,1985,360000.0,Q,5,1,0,16,953,Condominium,1657.0,740.0,20016.0,38.937773395,-77.07536841999999,Cleveland Park,Ward 3,1821,NW,2018.0,6.0
128746,1,0,Ht Pump,Y,3,1,1985.0,1,1985,328000.0,Q,1,1,1,16,1027,Condominium,1657.0,751.0,20016.0,38.937773395,-77.07536841999999,Cleveland Park,Ward 3,1821,NW,2010.0,12.0
128759,1,1,Ht Pump,Y,3,1,1985.0,1,1985,355000.0,Q,4,1,1,16,995,Condominium,1657.0,754.0,20016.0,38.937773395,-77.07536841999999,Cleveland Park,Ward 3,1821,NW,2016.0,7.0
128762,2,0,Ht Pump,Y,6,2,1942.0,1,1942,459900.0,Q,1,1,0,16,1785,Condominium,1066.0,1341.0,20016.0,38.93847513,-77.076837645,Cleveland Park,Ward 3,1822,NW,2010.0,6.0
128764,1,0,Ht Pump,Y,3,1,1942.0,1,1942,353500.0,Q,1,1,0,16,997,Condominium,1066.0,749.0,20016.0,38.93847513,-77.076837645,Cleveland Park,Ward 3,1822,NW,2013.0,12.0
128766,1,0,Ht Pump,Y,4,1,1942.0,0,1942,425000.0,Q,2,1,0,16,1332,Condominium,1066.0,1001.0,20016.0,38.93847513,-77.076837645,Cleveland Park,Ward 3,1822,NW,2015.0,5.0
